,lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
116, The Westin Boston Waterfront,"425 East Side Dr Boston, MA 02210, US ",Daily Max:  $44; Valet:  $54; ,Mon-Sun:  24 Hours,$44.00,https://www.parkme.com/lot/52937
125, BOS - Central Parking,"1 Harborside Dr Boston, MA 02128, US ",1 Hour:  $8; 2 Hours:  $21; 3 Hours:  $26; 4 Hours:  $30; 7 Hours:  $34; 24 Hours:  $38; 30 Hours:  $57; 2 Days:  $76; Each Add'l Day:  $38; Each Add'l 6 Hours:  $19; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/99583
126, Stanhope Garage,"194 Sumner St Boston, MA 02128, US ",6am-6pm:  $15; 6pm-6am:  $15; ,Mon-Fri:  6am-6pm,$15.00,https://www.parkme.com/lot/26690
127, Embassy Suites,"207 Porter St Boston, MA 02128, US ",Valet:  $55; ,Mon-Sun:  24 Hours,$55.00,https://www.parkme.com/lot/256532
131, East Boston Neighborhood Heath Center,"11 Henry St Boston, MA 02128, US ",3 Hours: Visitors Only Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/24060
132, 333 Border St Parking,"333 Border St Boston, MA 02128, US ",Customers Only:  Free; ,,$0.00,https://www.parkme.com/lot/26672
133, East Boston Neighborhood Health Center,"95 Bremen St Boston, MA 02128, US ",3 Hours: Visitors Only Free; ,,$0.00,https://www.parkme.com/lot/115636
134, Hilton Boston Logan Airport,"Logan Memorial Way Boston, MA 02128, US ",Daily Max:  $52; Valet:  $58; ,Mon-Sun:  24 Hours,$52.00,https://www.parkme.com/lot/190388
138, Pre-Flight Airport Parking,"111 Eastern Ave Chelsea, MA 02150, US ",Each Hour:  $4; Daily Max:  $18; Weekly:  $108; ,Mon-Sun:  24 Hours,$4.00,https://www.parkme.com/lot/105265
141, TownePlace Suites,"285 Central Ave Chelsea, MA 02150, US ",Guests Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/194046
142, 115 Broadway Parking,"115 Broadway Chelsea, MA 02150, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182135
143, Courtyard Marriott,"225 William F McClellan Hwy Boston, MA 02128, US ",Daily Max:  $25; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/194028
152, Lot 4,"250 Rutherford Ave Boston, MA 02129, US ",1 Hour:  Free; ,Mon-Sun:  6am-11pm,$0.00,https://www.parkme.com/lot/333626
153, 50 Cambridge St Parking,"43 Spice St Boston, MA 02129, US ",Max: 6am-6pm $6; Max: 6pm-6am $6; ,Mon-Fri:  6am-6pm,$6.00,https://www.parkme.com/lot/24090
154, Sullivan Square,"5 Maffa Way Boston, MA 02129, US ",Mon-Fri: 6am-1pm $8; Max: Mon-Fri; In After 1pm $6; Max: Sat-Sun $6; ,Monthly:  $160-$190,$6.00,https://www.parkme.com/lot/115641
155, Sullivan Square,"649 Main St Boston, MA 02129, US ",Mon-Fri: 6am-1pm $8; Max: Mon-Fri; In After 1pm $6; Sat-Sun:  $6; ,Monthly:  $160-$190,$6.00,https://www.parkme.com/lot/188932
156, Building 199 Garage,"199 5th Ave Boston, MA 02129, US ",1 Hour: Mon-Fri; 6am-5pm $10; 2 Hours: Mon-Fri; 6am-5pm $15; 4 Hours: Mon-Fri; 6am-5pm $20; 24 Hours: Mon-Fri; 6am-5pm $28; Max: Mon-Fri; In After 5pm Free; Sat-Sun:  Free; ,Mon-Sun:  6am-10pm,$10.00,https://www.parkme.com/lot/26788
157, Flagship Wharf,"197 8th St Boston, MA 02129, US ",2 Hours:  $10; 4 Hours:  $15; 6 Hours:  $18; Daily Max:  $20-$24; Evening: In After 6pm / Out By 8am $15; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/189316
158, Constitution Wharf,"1 Constitution Rd Boston, MA 02129, US ",30 Min: Mon-Fri $6; 1 Hour: Mon-Fri $11; 1.5 Hours: Mon-Fri $17; 8 Hours: Mon-Fri $23; 12 Hours:  $25; 24 Hours:  $30; 30 Min: In After 5pm / Out By 7am $6; 1 Hour: In After 5pm / Out By 7am $12; 1.5 Hours: In After 5pm / Out By 7am $17; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $20; ,Monthly:  $75-$315,$11.00,https://www.parkme.com/lot/188543
159, Nautica,"88 Constitution Rd Boston, MA 02129, US ",30 Min:  $6; 1 Hour:  $12; 1.5 Hours:  $17; 2 Hours: With Validation $5.50-$11; 4 Hours: With Validation $7.50-$15; 12 Hours:  $22; 24 Hours:  $28; Max: In After 5pm / Out By 7am $15; Event:  $15; ,Monthly:  $250,$12.00,https://www.parkme.com/lot/213621/nautica-boston-ma?entry-date=2022-01-24T13:33&duration=60
160, North End,"600 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 1.5 Hours:  $19; 2 Hours:  $23; 10 Hours:  $27; 24 Hours:  $37; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; Evening: Sun-Wed; In After 5pm / Out By 5am $19; Evening: Thu-Sat; In After 5pm / Out By 5am $25; Event:  $44; ,Monthly:  $370,$15.00,https://www.parkme.com/lot/15223/north-end-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
161, 588 Commercial St Parking,"588 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 2 Hours:  $23; 10 Hours:  $28; 24 Hours:  $36; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; 10 Hours: Sun-Thu; In After 4pm / Out By 4am $18; 10 Hours: Fri-Sat; In After 4pm / Out By 4am $23; ,Mon-Sun:  24 Hours,$15.00,https://www.parkme.com/lot/24122/588-commercial-st?entry-date=2022-01-24T13:33&duration=60
162, Residence Inn Marriott,"5 Constitution Rd Boston, MA 02129, US ",Each Hour:  $15; Daily Max:  $50; ,Mon-Sun:  24 Hours,$15.00,https://www.parkme.com/lot/194033/residence-inn-marriott-boston-ma?entry-date=2022-01-24T13:33&duration=60
163, Two Canal Park,"40 Cambridge St Cambridge, MA 02141, US ",Daily Max:  $25; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/342759
164, Battery Wharf Hotel,"393 Commercial Street Boston, MA 02109, US ",24 Hours:  $50; ,Mon-Sun:  24 Hours,$50.00,https://www.parkme.com/lot/32097/battery-wharf-hotel-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
172, Santander,"426 Main St Boston, MA 02129, US ",Mon-Sun:  Free; ,Mon-Wed:  9am-5pm,$0.00,https://www.parkme.com/lot/26774
173, 90 Mishawum St Parking,"90 Mishawum St Boston, MA 02129, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/26776
174, 39 Bunker Hill St Parking,"39 Bunker Hill St Boston, MA 02129, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/26784
175, Shell,"15-21 Rutherford Ave Boston, MA 02129, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/26792
176, Bunker Hill Mall,"51 Austin St Boston, MA 02129, US ",2 Hours: Customers Only Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/332335
177, 140 Main St Parking,"140 Main St Boston, MA 02129, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182123
178, CambridgeSide - Lower Garage,"100 Cambridgeside Pl Cambridge, MA 02141, US ",30 Min:  $3; 1 Hour:  $4; 2 Hours:  $5; 3 Hours:  $8; 4 Hours:  $12; 5 Hours:  $18; 6 Hours:  $25; 12 Hours:  $30; 24 Hours:  $35; 3 Hours: With Validation $3; ,Mon-Sat:  6am-1am,$4.00,https://www.parkme.com/lot/328595
179, Royal Sonesta Hotel,"40 Edwin H Land Blvd Cambridge, MA 02142, US ",1 Hour:  $10; 2 Hours:  $18; 3 Hours:  $26; 3 Hours: With Validation $15; 4 Hours:  $34; 24 Hours:  $42-$44; 1 Hour: Valet $20; 2 Hours: Valet $30; 3 Hours: Valet $38; 3 Hours: Valet; With Validation $22; 4 Hours: Valet $40; 24 Hours: Valet $45; ,Monthly:  $250,$10.00,https://www.parkme.com/lot/32204
184, Windsor Street - Lot 11,"471 Windsor St Cambridge, MA 02141, US ",Each Hour: Mon-Sat; 8am-10pm; 2 Hour Max $1.25; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/115645
185, One Kendall Square Garage,"389 Binney St Cambridge, MA 02141, US ",30 Min:  $5; 1 Hour:  $8; 2 Hours:  $12; 3 Hours:  $14; 4 Hours:  $18; 8 Hours:  $22; Daily Max:  $23; 4 Hours: With Validation $3; ,Monthly:  $425,$8.00,https://www.parkme.com/lot/91630/one-kendall-square-garage-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
186, Kendall Center Yellow,"Ames Pl Cambridge, MA 02142, US ",30 Min:  $10; 1 Hour:  $15; 3 Hours:  $30; 10 Hours:  $36; 24 Hours:  $40; Evening: In After 6pm / Out By 12am $10; ,Mon-Sun:  24 Hours,$15.00,https://www.parkme.com/lot/91605
187, Binney Street Garage,"192 Rogers St Cambridge, MA 02142, US ",30 Min:  $10; 1 Hour:  $15; 3 Hours:  $28; 24 Hours:  $39; ,Mon-Fri:  5am-7pm,$15.00,https://www.parkme.com/lot/218531
188, Kendall Center Blue Garage,"290 Binney St Cambridge, MA 02142, US ",1 Hour:  $16; 3 Hours:  $32; 24 Hours:  $42; Evening: In After 6pm / Out By 12am $10; ,Mon-Sun:  24 Hours,$16.00,https://www.parkme.com/lot/32216
189, 205 Cambridge St Parking,"205 Cambridge St Cambridge, MA 02141, US ",Each 15 Min:  $4; Daily Max:  $20; ,Mon-Sun:  24 Hours,$16.00,https://www.parkme.com/lot/115644/205-cambridge-st?entry-date=2022-01-24T13:33&duration=60
190, 650 East Kendall Street Garage,"96 Linskey Way Cambridge, MA 02142, US ",30 Min: Mon-Fri; 7am-4pm $11; 1 Hour: Mon-Fri; 7am-4pm $16; 1.5 Hours: Mon-Fri; 7am-4pm $23; 3 Hours: Mon-Fri; 7am-4pm $33; Max: Mon-Fri; 7am-4pm $39; Evening: Mon-Fri; In After 4pm / Out By 6am $10; Each Hour: Mon-Fri; In After 4pm / Out By 6am; 3 Hour Max; With Validation $2; Each Hour: Sat-Sun; Out By 6am; 3 Hour Max; With Validation $2; 24 Hours: Mon-Fri $42; ,Monthly:  $380,$16.00,https://www.parkme.com/lot/218541
191, 55 Franklin Street Garage,"55 Franklin St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $17; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $38; Max: Out By 5am $40; Evening: In After 5pm / Out By 8am $12; ,Monthly:  $165-$325,$17.00,https://www.parkme.com/lot/32208
192, 80 Landsdowne Street,"80 Landsdowne St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $17; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $38; Daily Max:  $45; ,Mon-Sun:  24 Hours,$17.00,https://www.parkme.com/lot/32212
193, Technology Square Parking,"500 Technology Sq Cambridge, MA 02139, US ",1 Hour:  $17; 1.5 Hours:  $25; 3 Hours:  $30; 24 Hours:  $42; ,Mon-Sun:  24 Hours,$17.00,https://www.parkme.com/lot/91731
194, Fairfield Inn & Suites,"215 Monsignor O'Brien Hwy Cambridge, MA 02141, US ",Daily Max:  $25; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/194043
196, Le Meridien Cambridge,"60 Green St Cambridge, MA 02139, US ",Daily Max:  $40; ,Mon-Sun:  24 Hours,$40.00,https://www.parkme.com/lot/113875
197, Kendall Center Green Garage,"90 Broadway Cambridge, MA 02142, US ",24 Hours:  $45; ,Mon-Sun:  24 Hours,$45.00,https://www.parkme.com/lot/32222
198, Cambridge Center Marriott,"50 Broadway Cambridge, MA 02142, US ",Daily Max:  $45; ,Mon-Sun:  24 Hours,$45.00,https://www.parkme.com/lot/329005
199, East Cambridge Garage,"7 Spring St Cambridge, MA 02141, US ",1 Hour:  $4; Each Add'l Hour:  $2; 8 Hours:  $19; 9 Hours:  $22; 24 Hours:  $30; ,Monthly:  $50-$100,$100.00,https://www.parkme.com/lot/91645
200, Kendall SQ Garage,"300 Kendall St Cambridge, MA 02142, US ",30 Min:  $11; 1 Hour:  $16; 1.5 Hours:  $23; 3 Hours:  $33; 10 Hours:  $39; 24 Hours:  $42; Sat-Sun: Out By 6am $12; Early Bird: Mon-Fri; In By 9am / Out By 6pm $24; Evening: Mon-Fri; In After 4pm / Out By 6am $10; Each Hour: Mon-Fri; In After 4pm / Out By 6am; 3 Hour Max; With Validation $2; Each Hour: Sat-Sun; Out By 6am; 3 Hour Max; With Validation $2; ,Monthly:  $340,$340.00,https://www.parkme.com/lot/32217
201, 245 First St Garage,"84 Athenaeum St Cambridge, MA 02142, US ",20 Min:  $9; 40 Min:  $15; 60 Min:  $21; 80 Min:  $27; Max: Out By 6am $30; ,Monthly:  $425,$425.00,https://www.parkme.com/lot/32219
214, 180 Somerville Ave Parking,"180 Somerville Ave Somerville, MA 02143, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/377257
215, 30 Pilgrim Street Garage,"116 Franklin St Cambridge, MA 02139, US ",1 Hour: With Validation $5; Each Add'l Hour: With Validation $1; 24 Hours: With Validation $9; Daily Max:  $30; Evening:: With Validation; In After 5pm / Out Before 8am $12; ,Mon-Sat:  24 Hours,$30.00,https://www.parkme.com/lot/91631
216, Holiday Inn Express & Suites,"250 Monsignor O'Brien Hwy Cambridge, MA 02141, US ",Daily Max:  $35; ,Mon-Sun:  24 Hours,$35.00,https://www.parkme.com/lot/375858/holiday-inn-express-suites-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
217, Royal Sonesta Hotel,"40 Edwin H Land Blvd Cambridge, MA 02142, US ",1 Hour:  $10; 2 Hours:  $18; 3 Hours:  $26; 3 Hours: With Validation $15; 4 Hours:  $34; 24 Hours:  $42-$44; 1 Hour: Valet $20; 2 Hours: Valet $30; 3 Hours: Valet $38; 3 Hours: Valet; With Validation $22; 4 Hours: Valet $40; 24 Hours: Valet $45; ,Monthly:  $250,$250.00,https://www.parkme.com/lot/32204
222, Lot #5,"25 Norfolk St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91560
223, Lot #9,"9 Pleasant St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91564
224, Lot #8,"375 Green St Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91566
225, Lot #4,"96 Bishop Allen Dr Cambridge, MA 02139, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $1.25; Each Hour: Mon-Sat; 6pm-10pm $2; Mon-Sat: 10pm-8am Free; Sun:  Free; ,Mon-Sun:  24 Hours,$1.25,https://www.parkme.com/lot/91675
226, Green Street Garage,"260 Green St Cambridge, MA 02139, US ",1 Hour:  $4; 2 Hours:  $8; 3 Hours:  $10; 4 Hours:  $12; 5 Hours:  $16; 8 Hours:  $18; 9 Hours:  $20; 12 Hours:  $22; 24 Hours:  $30; ,Mon-Sun:  24 Hours,$4.00,https://www.parkme.com/lot/32211
227, Central Square,"438 Green St Cambridge, MA 02139, US ",30 Min: Mon-Fri; 7am-5pm $7; 1 Hour: Mon-Fri; 7am-5pm $13; Max: Mon-Fri; 7am-5pm $19; Evening: Mon-Fri; 5pm-7am $10; Sat-Sun:  $10; 24 Hours:  $38; ,Monthly:  $240,$13.00,https://www.parkme.com/lot/53523/central-square-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
228, 47 Erie St Garage,"47 Erie St Cambridge, MA 02139, US ",30 Min:  $12; 1 Hour:  $15; 2 Hours:  $23; 3 Hours:  $26; 4 Hours:  $29; 12 Hours:  $31; 24 Hours:  $37; ,Mon-Fri:  7am-7pm,$15.00,https://www.parkme.com/lot/218537
240, John & Nick's,"975 Massachusetts Ave Cambridge, MA 02139, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/91569
241, M.I.T. Dept. of Facilities,"169 Vassar St Cambridge, MA 02139, US ",Guests Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/91718
242, Super 88 Market,"1 Brighton Ave Boston, MA 02134, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/327678
243, 321 Broadway Parking,"321 Broadway Cambridge, MA 02139, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182090
245, Courtyard,"184 Pleasant St Ext Cambridge, MA 02139, US ",Daily Max:  $42; ,Mon-Sun:  24 Hours,$42.00,https://www.parkme.com/lot/194041
248, Lot #2,"110 Mt Auburn St Cambridge, MA 02138, US ",Each Hour: Mon-Sat; 8am-6pm; 2 Hour Max $3; Each Hour: Mon-Sat; 6pm-10pm $3; ,Mon-Sat:  8am-10pm,$3.00,https://www.parkme.com/lot/115646
249, Church St,"41 Church St Cambridge, MA 02138, US ",30 Min:  $6; 1 Hour:  $12; 2 Hours: Mon-Sat $22; Max: Mon-Sat; Out By 5pm $29; Max: Mon-Sat $34; Max: Mon-Sat; 5pm-5am $24; Max: Sun $34; ,Monthly:  $399,$12.00,https://www.parkme.com/lot/32205/church-st-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
250, The Charles Square Garage,"1 Bennett St Cambridge, MA 02138, US ",30 Min: 5am-5pm $6; 1 Hour: 5am-5pm $12; 1.5 Hour: 5am-5pm $12-$17; 2 Hours: 5am-5pm $17-$22; 3 Hours: 5am-5pm $22-$30; 6 Hours: 5am-5pm $30-$33; 12 Hours: 5am-5pm $33-$35; 24 Hours: 5am-5pm $40; 30 Min: 5pm-5am $7; 5 Hours: 5pm-5am $14; 8 Hours: 5pm-5am $16; 12 Hours: 5pm-5am $24; Early Bird: In By 9:30am / Out By 6pm $19; Oversize: 5am-5pm; 30 Min $9; Oversize: 5am-5pm; 1 Hour $15; Oversize: 5am-5pm; 1.5 Hour $20; Oversize: 5am-5pm; 2 Hours $25; Oversize: 5am-5pm; 3 Hours $33; Oversize: 5am-5pm; 6 Hours $36; Oversize: 5am-5pm; 12 Hours $38; Oversize: 5am-5pm; 24 Hours $40; ,Monthly:  $225-$450,$12.00,https://www.parkme.com/lot/52634/the-charles-square-garage-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
251, Holyoke Center Garage,"11 Holyoke St Cambridge, MA 02138, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; 2 Hours:  $21; 12 Hours: Out By 6pm $25; 24 Hours: Out By 5am $30; Daily Max:  $30; Each 30 Min: In After 5pm / Out By 5am $5; Max: In After 5pm / Out By 5am $15; ,Monthly:  $485,$12.00,https://www.parkme.com/lot/91635/holyoke-center-garage-cambridge-ma?entry-date=2022-01-24T13:33&duration=60
252, Harvard Square Parking Garage,"20 Eliot St Cambridge, MA 02138, US ",Early Bird: Mon-Sat; In By 8am / Out By 5pm $21; 30 Min: Mon-Sat; 5am-5pm $6; 1 Hour: Mon-Sun $12; 1.5 Hours: Mon-Sat; 5am-5pm $16; 2.5 Hours: Mon-Sat; 5am-5pm $24; 3 Hours: Mon-Sat; 5am-5pm $28; 12 Hours: Mon-Sat; 5am-5pm $32; Max: Mon-Sat; 5am-5pm $36; 30 Min: Mon-Sat; 5pm-2:30am $5; Max: Mon-Sat; 5pm-2:30am $15; 30 Min: Sun $5; Max: Sun $15; ,Mon-Sun:  5am-2:30am,$16.00,https://www.parkme.com/lot/32206
255, 169 Everett St Parking,"169 Everett St Boston, MA 02134, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27733
257, Courtyard Boston Brookline,"40 Webster St Brookline, MA 02446, US ",Each Hour:  $8; Daily Max:  $35; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/194037
272, Model Hardware,"22 Harvard Ave Boston, MA 02134, US ",Customers Only:  Free; ,Mon-Fri:  7am-6pm,$0.00,https://www.parkme.com/lot/27621
273, Domino's Pizza,"7 Craftsman St Boston, MA 02134, US ",Customers Only:  Free; ,Mon-Sun:  10:30am-3am,$0.00,https://www.parkme.com/lot/27624
274, 23 Harvard Ave Parking,"23 Harvard Ave Boston, MA 02134, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27633
276, Central Automotive Warehouse,"8 Wilton St Boston, MA 02134, US ",Customers Only:  Free; ,Mon-Fri:  8am-5pm,$0.00,https://www.parkme.com/lot/27768
278, 509 Cambridge St Parking,"509 Cambridge St Boston, MA 02134, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1181807
279, 241 Market St Parking,"241 Market St Boston, MA 02109, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1181907
281, 584 Washington St Parking,"584 Washington St Boston, MA 02135, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1181899
290, New England Baptist Hospital,"125 Parker Hill Ave Boston, MA 02120, US ",1 Hour:  $8; 2 Hours:  $10; 3 Hours:  $15; 4 Hours:  $18; 5 Hours:  $20; 24 Hours:  $25; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/190483
293, Whole Foods Market,"413 Centre St Boston, MA 02130, US ",Customers Only:  Free; ,Mon-Sun:  8am-10pm,$0.00,https://www.parkme.com/lot/24381
294, 309 Centre St Parking,"309 Centre St Boston, MA 02130, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/80482
295, 451 Centre St Parking,"451 Centre St Boston, MA 02130, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182793
303, Roslindale,"8 Cohasset St Boston, MA 02131, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27377
304, The Cooperative Bank,"40 Belgrade Ave Boston, MA 02131, US ",Customers Only:  Free; ,Mon-Tue:  8:30am-4:30pm,$0.00,https://www.parkme.com/lot/27395
305, 1436-38 Centre St Parking,"1436-38 Centre St Boston, MA 02131, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1184315
306, 1435 VFW Pkwy Parking,"1435 VFW Pkwy Boston, MA 02132, US ",Customers Only:  Free; ,Mon-Sun:  5am-11pm,$0.00,https://www.parkme.com/lot/24100
307, 1213 Vfw Pkwy Parking,"1213 Vfw Pkwy Boston, MA 02132, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/377613
308, 29 Bridge St Parking,"29 Bridge St Dedham, MA 02026, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182173
309, Dedham Public Library,"21 Norfolk St Dedham, MA 02026, US ",Patrons Only:  Free; ,Mon-Thu:  9:30am-8:30pm,$0.00,https://www.parkme.com/lot/312179
310, 1045 Hyde Park Ave Parking,"1045 Hyde Park Ave Boston, MA 02136, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27276
311, 7 Spring St Parking,"7 Spring St Boston, MA 02132, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1184633
313, 1187 Hyde Park Ave Parking,"1187 Hyde Park Ave Boston, MA 02136, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182791
317, 88 Granite Ave Parking,"88 Granite Ave Milton, MA 02186, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/106255
320, Cvs,"111 Victory Rd Boston, MA 02122, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27157
321, Ramada,"800 Morrissey Blvd Boston, MA 02122, US ",Guests Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/187741
322, 1576 Dorchester Ave Parking,"1576 Dorchester Ave Boston, MA 02122, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182192
323, 730 Morrissey Blvd Parking,"730 Morrissey Blvd Boston, MA 02122, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182253
324, 1886 Dorchester Ave Parking,"1886 Dorchester Ave Boston, MA 02124, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182273
325, 2 Pearl St Parking,"2 Pearl St Boston, MA 02125, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27131
327, Murphy Funeral Home,"1020 Dorchester Ave Boston, MA 02125, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27139
330, 1420 Dorchester Ave Parking,"1420 Dorchester Ave Boston, MA 02122, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182189
336, 187 E Cottage St Parking,"711 Columbia Rd Boston, MA 02125, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1182279
341, 5 Allstate Rd Parking,"5 Allstate Rd Boston, MA 02125, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/377471
343, Courtyard Marriott,"63R Boston St Boston, MA 02125, US ",24 Hours:  $20; ,Mon-Sun:  24 Hours,$20.00,https://www.parkme.com/lot/194032
346, 1010 Massachusetts Ave Parking,"133 Magazine St Boston, MA 02119, US ",30 Min:  $2; 1 Hour:  $3; 2 Hours:  $4; Daily Max:  $5; ,,$3.00,https://www.parkme.com/lot/80481
349, 510 Southampton St Parking,"510 Southampton St Boston, MA 02127, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/80501
350, 7 Allstate Rd Parking,"7 Allstate Rd Boston, MA 02125, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/376980
351, 7 Allstate Rd Parking,"7 Allstate Rd Boston, MA 02118, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/376981
353, 566 Dorchester Ave Parking,"566 Dorchester Ave Boston, MA 02127, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1181834
357, Northampton Square,"35 Northampton St Boston, MA 02118, US ",2 Hours:  Free; 3 Hours:  $6; 5 Hours:  $9; 7 Hours:  $16; 24 Hours:  $35; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27034
358, 365 Albany St Parking,"365 Albany St Boston, MA 02118, US ",Each Hour:  $2.50; Daily Max:  $20; ,Mon-Sun:  24 Hours,$2.50,https://www.parkme.com/lot/26821
359, Kenmore Lot,"73 Brookline Ave Boston, MA 02215, US ",2 Hours:  $5; Max: 6am-6pm $10; Event:  $10-$55; ,Mon-Tue:  5am-10pm,$5.00,https://www.parkme.com/lot/27559/kenmore-lot-boston-ma?entry-date=2022-01-24T13:33&duration=60
